Market Cap Segment,Company Name,Ticker,Sector / Industry,Installed / Contracted RE (MW),Solar / Wind / Green Tech Details,RE Electricity Share (%),Annual Green Units (MU / MWh M),Avg. Grid Tariff (₹/kWh),Green Landed Cost (₹/kWh),Cost Shielded / Unit Saved (₹/kWh),Est. Annual Cost Shielded (₹ Crore),Primary Sourcing Model,Key Targets / Commitments
Small & Micro Cap,Welspun Living Ltd,WELSPUNLIV,Home Textiles,35,35 MW Rooftop & Ground Solar at Anjar & Vapi,48,85,8.1,3.6,4.5,38.3,Rooftop Solar on mega textile parks,100% RE by 2030 (RE100 member)
Small & Micro Cap,Arvind Ltd,ARVIND,Textiles & Apparel,28,28 MW Rooftop Solar at Santej & Naroda,38,62,8.2,3.65,4.55,28.2,Largest rooftop solar installations in textiles,50% RE by 2028
Small & Micro Cap,Sagar Cements Ltd,SAGCEM,Cement,25.5,18 MW Solar + 7.5 MW WHRS,36,78,8.1,3.7,4.4,34.3,Captive Solar Plant at Mattampally & WHRS,50% Green Power by 2028
Small & Micro Cap,Orient Cement Ltd,ORIENTCEM,Cement,50,35 MW Solar PPA + 15 MW WHRS,38,110,8,3.75,4.25,46.8,Solar PPA with Cleantech + WHRS,55% Green Power by 2030
Small & Micro Cap,Birla Corporation Ltd,BIRLACORPN,Cement & Jute,55,35 MW Solar/Wind + 20 MW WHRS,30,135,8.1,3.75,4.35,58.7,Onsite Solar + Open access wind/solar,45% RE by 2029
Small & Micro Cap,Kajaria Ceramics Ltd,KAJARIACER,Tiles & Ceramics,12.5,12.5 MW Rooftop Solar at Gailpur & Malutana,24,28,8.5,3.7,4.8,13.4,Factory Rooftop Solar PV,35% RE by 2028
Small & Micro Cap,Somany Ceramics Ltd,SOMANYCERA,Tiles & Ceramics,8.5,8.5 MW Rooftop Solar across Kadi & Kassar,20,18,8.6,3.75,4.85,8.7,Onsite Rooftop Solar,30% RE by 2028
Small & Micro Cap,Borosil Renewables Ltd,BORORENEW,Solar Glass & Specialty Glass,10,10 MW Captive Solar & Wind installation,30,24,8.2,3.6,4.6,11,Captive Solar PV + Solar Glass production,50% RE by 2030
Small & Micro Cap,Gabriel India Ltd,GABRIEL,Auto Ancillary / Shock Absorbers,6.5,6.5 MW Rooftop Solar across Pune & Hosur,32,14,8.9,3.8,5.1,7.1,Rooftop Solar on factory sheds,50% RE by 2028
Small & Micro Cap,Lumax Auto Tech Ltd,LUMAXTECH,Auto Ancillary / Lighting,8,8 MW Rooftop Solar across 11 plants,26,18,8.8,3.8,5,9,Rooftop Solar installations,40% RE by 2030
Small & Micro Cap,Subros Ltd,SUBROS,Thermal Systems / Auto AC,5.5,5.5 MW Rooftop Solar at Noida & Manesar,22,12,8.7,3.8,4.9,5.9,Rooftop Solar PV,35% RE by 2029
Small & Micro Cap,Sharda Motor Industries,SHARDAMOTR,Auto Exhaust Systems,4.5,4.5 MW Rooftop Solar installations,20,10,8.8,3.8,5,5,Rooftop Solar on manufacturing units,30% RE by 2030
Small & Micro Cap,KPI Green Energy Ltd,KPIGREEN,Solar IPP & Captive Enabler,165,165 MW Captive/IPP operational (1.5 GW pipe),95,280,7.8,3.1,4.7,131.6,Developer of Solar Parks & Group Captive,Reach 2.5 GW green capacity by 2026
Small & Micro Cap,Gensol Engineering Ltd,GENSOL,Solar EPC & EV Cleantech,85,85 MW Solar assets + massive EPC pipeline,80,140,7.9,3.2,4.7,65.8,Solar EPC Developer & Captive Assets,1 GW renewable development portfolio
Small & Micro Cap,Suzlon Energy Ltd,SUZLON,Wind Energy Equipment & O&M,120,120 MW Captive/Wind O&M support assets,75,210,7.8,3.2,4.6,96.6,Wind OEM powering manufacturing green,100% RE in own plants by 2028
Small & Micro Cap,Inox Wind Ltd,INOXWIND,Wind Energy Solutions,80,80 MW Wind & Hybrid captive installations,70,150,7.9,3.3,4.6,69,Wind Turbine manufacturing + Hybrid plants,Net Zero operations by 2030
Small & Micro Cap,Orient Green Power Co,GREENPOWER,Pure-Play Renewable IPP,402,402 MW Wind & Biomass plants,100,620,7.6,3.3,4.3,266.6,Independent Power Producer (IPP),1 GW green energy portfolio
Small & Micro Cap,Sterling & Wilson RE Ltd,SWSOLAR,Solar EPC Pure Play,25,25 MW Rooftop & captive demo solar PV,65,45,8.5,3.5,5,22.5,EPC & captive solar solutions,Global leader in utility solar EPC
Small & Micro Cap,Waaree Energies Ltd,WAAREE,Solar PV Modules & Cleantech,55,55 MW Captive Solar + 12 GW Module Mfg,70,110,8,3.2,4.8,52.8,Captive Solar PV for module gigafactories,100% Green Manufacturing by 2028
