name,ticker,cap_tier,sector,sub_segment,close_price,ret_1y,ret_2y,ret_3y,ret_4y,ret_5y,ret_6y,re_mw,re_pct,annual_mu,grid_tariff,solar_cost,unit_shield,annual_shield_cr,primary_model,targets
UltraTech Cement Ltd,ULTRACEMCO,Large Cap,Cement & Building Materials,Group Captive Solar/Wind + WHRS,11408.0,-6.7,-3.3,38.2,82.4,54.2,181.7,1363.0,32.0,3600.0,8.2,3.8,4.4,1584.0,Group Captive Solar/Wind + WHRS,"85% Green by 2030, RE100 (100% by 2050)"
NTPC Ltd (Captive & Green),NTPC,Large Cap,Power Utilities & Cleantech,Utility Solar + Floating Solar at Reservoirs,332.5,-2.3,-25.0,35.4,108.3,134.4,290.7,3500.0,12.0,4500.0,6.5,3.1,3.4,1530.0,Utility Solar + Floating Solar at Reservoirs,60 GW RE by 2032 (NTPC Green Energy)
SBI,SBIN,Large Cap,Banking & Financial Services,BFSI,1016.1,-10.0,-5.0,15.0,40.0,75.0,120.0,187.6,15.0,281.4,8.9,3.7,5.2,1463.3,Group Captive Solar & Rooftop PV (SEBI Rank #5),Targeting >40% clean electricity mix
Hitachi Energy,POWERINDIA,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,31650.0,-10.0,15.0,40.0,130.0,230.0,340.0,211.6,25.0,317.4,8.2,3.8,4.4,1396.6,Group Captive Solar & Rooftop PV (SEBI Rank #70),Targeting >50% clean electricity mix
CG Power & Ind,CGPOWER,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,891.0,-9.0,17.0,43.0,134.0,235.0,346.0,210.6,26.0,315.9,8.2,3.8,4.4,1390.0,Group Captive Solar & Rooftop PV (SEBI Rank #71),Targeting >51% clean electricity mix
Power Fin.Corpn.,PFC,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,355.6,11.0,12.0,58.0,89.0,210.0,341.0,176.0,16.0,264.0,8.2,3.8,4.4,1161.6,Group Captive Solar & Rooftop PV (SEBI Rank #91),Targeting >41% clean electricity mix
Vedanta,VEDL,Large Cap,Metals & Mining,Metals & Mining,272.1,25.0,40.0,100.0,145.0,280.0,425.0,159.6,30.0,239.4,8.2,3.8,4.4,1053.4,Group Captive Solar & Rooftop PV (SEBI Rank #105),Targeting >55% clean electricity mix
Hyundai Motor I,HYUNDAI,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,2205.0,35.0,40.0,105.0,175.0,255.0,345.0,143.3,25.0,215.0,8.6,3.75,4.85,1042.8,Group Captive Solar & Rooftop PV (SEBI Rank #50),Targeting >50% clean electricity mix
Bajaj Finance,BAJFINANCE,Large Cap,Banking & Financial Services,BFSI,1060.5,-8.0,-1.0,21.0,48.0,85.0,132.0,132.1,17.0,198.1,8.9,3.7,5.2,1030.1,Group Captive Solar & Rooftop PV (SEBI Rank #7),Targeting >42% clean electricity mix
Lloyds Metals,LLOYDSME,Large Cap,Metals & Mining,Metals & Mining,1823.0,32.0,54.0,121.0,173.0,315.0,467.0,153.9,37.0,230.9,8.2,3.8,4.4,1016.0,Group Captive Solar & Rooftop PV (SEBI Rank #112),Targeting >62% clean electricity mix
Samvardh. Mothe.,MOTHERSON,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,160.7,40.0,50.0,120.0,195.0,280.0,375.0,135.7,30.0,203.5,8.6,3.75,4.85,987.0,Group Captive Solar & Rooftop PV (SEBI Rank #55),Targeting >55% clean electricity mix
Tata Motors,TMCV,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,458.2,42.0,54.0,126.0,203.0,290.0,387.0,135.0,32.0,202.5,8.6,3.75,4.85,982.1,Group Captive Solar & Rooftop PV (SEBI Rank #57),Targeting >57% clean electricity mix
Divi's Lab.,DIVISLAB,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,9100.0,24.0,63.0,117.0,176.0,245.0,324.0,134.2,24.0,201.3,8.4,3.8,4.6,926.0,Group Captive Solar & Rooftop PV (SEBI Rank #39),Targeting >49% clean electricity mix
Shree Cement Ltd,SHREECEM,Large Cap,Cement & Building Materials,Captive Solar/Wind parks + WHRS integration,23855.0,-18.5,-9.3,-6.3,13.4,-17.5,17.8,666.5,58.0,1950.0,8.1,3.6,4.5,877.5,Captive Solar/Wind parks + WHRS integration,Reach >65% Green Power by 2027
Tata Steel Ltd,TATASTEEL,Large Cap,Metals & Mining,Group Captive PPA with TPREL,188.79,11.9,12.0,46.5,90.1,46.5,424.8,1036.0,16.0,2100.0,8.0,3.9,4.1,861.0,Group Captive PPA with TPREL,"50% Green by 2030, Net Zero 2045"
Life Insurance,LICI,Large Cap,Banking & Financial Services,BFSI,415.35,-6.0,3.0,27.0,56.0,95.0,144.0,105.1,19.0,157.6,8.9,3.7,5.2,819.5,Group Captive Solar & Rooftop PV (SEBI Rank #9),Targeting >44% clean electricity mix
S A I L,SAIL,Large Cap,Metals & Mining,Metals & Mining,196.8,-4.0,2.0,38.0,119.0,170.0,351.0,121.9,36.0,182.9,8.2,3.8,4.4,804.8,Group Captive Solar & Rooftop PV (SEBI Rank #141),Targeting >61% clean electricity mix
Bosch,BOSCHLTD,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,46820.0,-6.0,23.0,52.0,146.0,250.0,364.0,110.5,49.0,165.8,8.6,3.75,4.85,804.1,Group Captive Solar & Rooftop PV (SEBI Rank #74),Targeting >74% clean electricity mix
NHPC Ltd,NHPC,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,76.25,2.0,14.0,56.0,143.0,200.0,387.0,114.9,42.0,172.4,8.2,3.8,4.4,758.6,Group Captive Solar & Rooftop PV (SEBI Rank #147),Targeting >67% clean electricity mix
Waaree Energies,WAAREEENER,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,2635.0,5.0,20.0,65.0,155.0,215.0,255.0,113.7,15.0,170.6,8.2,3.8,4.4,750.6,Group Captive Solar & Rooftop PV (SEBI Rank #150),Targeting >40% clean electricity mix
NTPC Green Ene.,NTPCGREEN,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,89.36,8.0,26.0,74.0,167.0,230.0,273.0,112.9,18.0,169.4,8.2,3.8,4.4,745.4,Group Captive Solar & Rooftop PV (SEBI Rank #153),Targeting >43% clean electricity mix
NMDC,NMDC,Large Cap,Metals & Mining,Metals & Mining,84.7,11.0,32.0,83.0,179.0,245.0,291.0,111.7,21.0,167.6,8.2,3.8,4.4,737.4,Group Captive Solar & Rooftop PV (SEBI Rank #156),Targeting >46% clean electricity mix
Hind. Unilever,HINDUNILVR,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,1973.4,-5.0,5.0,30.0,60.0,100.0,150.0,92.7,20.0,139.1,8.9,3.7,5.2,723.3,Group Captive Solar & Rooftop PV (SEBI Rank #10),Targeting >45% clean electricity mix
JSW Steel Ltd,JSWSTEEL,Large Cap,Metals & Mining,Group Captive PPA with JSW Energy,1325.0,16.0,28.6,70.0,109.8,98.3,377.0,782.0,14.0,1750.0,7.9,3.85,4.05,708.8,Group Captive PPA with JSW Energy,"1,000 MW Phase 1 + 1,500 MW Ph 2, Net Zero 2050"
Torrent Pharma.,TORNTPHARM,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,4857.0,34.0,38.0,102.0,171.0,250.0,339.0,102.6,34.0,153.9,8.4,3.8,4.6,707.9,Group Captive Solar & Rooftop PV (SEBI Rank #49),Targeting >59% clean electricity mix
Vodafone Idea,IDEA,Large Cap,Telecom & Data Centers,Telecom & Connectivity,15.02,44.0,58.0,132.0,211.0,300.0,399.0,81.4,64.0,122.1,9.2,3.6,5.6,683.8,Group Captive Solar & Rooftop PV (SEBI Rank #59),Targeting >89% clean electricity mix
Tata Motors PVeh,TMPV,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,311.5,13.0,16.0,64.0,97.0,220.0,353.0,91.8,68.0,137.7,8.6,3.75,4.85,667.8,Group Captive Solar & Rooftop PV (SEBI Rank #93),Targeting >93% clean electricity mix
Kotak Mah. Bank,KOTAKBANK,Large Cap,Banking & Financial Services,BFSI,424.5,-1.0,13.0,42.0,76.0,120.0,174.0,84.5,24.0,126.8,8.9,3.7,5.2,659.4,Group Captive Solar & Rooftop PV (SEBI Rank #14),Targeting >49% clean electricity mix
Torrent Power,TORNTPOWER,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,1299.1,31.0,72.0,143.0,179.0,265.0,331.0,98.2,41.0,147.3,8.2,3.8,4.4,648.1,Group Captive Solar & Rooftop PV (SEBI Rank #176),Targeting >66% clean electricity mix
Ambuja Cements Ltd,AMBUJACEM,Large Cap,Cement & Building Materials,Cement,405.0,22.0,45.0,80.0,120.0,160.0,195.0,600.0,36.0,1450.0,8.1,3.7,4.4,638.0,Group Captive Solar & Wind + High WHRS Integration,60% Green Energy Mix by 2028; Net Zero 2050
Maruti Suzuki,MARUTI,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,12694.0,1.0,17.0,48.0,84.0,130.0,186.0,79.8,26.0,119.7,8.9,3.7,5.2,622.4,Group Captive Solar & Rooftop PV (SEBI Rank #16),Targeting >51% clean electricity mix
Ather Energy,ATHERENERG,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,1584.0,36.0,37.0,53.0,94.0,185.0,256.0,94.2,16.0,141.3,8.2,3.8,4.4,621.7,Group Captive Solar & Rooftop PV (SEBI Rank #181),Targeting >41% clean electricity mix
Adani Enterp.,ADANIENT,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,2938.0,2.0,19.0,51.0,88.0,135.0,192.0,79.5,27.0,119.2,8.9,3.7,5.2,619.8,Group Captive Solar & Rooftop PV (SEBI Rank #17),Targeting >52% clean electricity mix
Axis Bank,AXISBANK,Large Cap,Banking & Financial Services,BFSI,1273.0,3.0,21.0,54.0,92.0,140.0,198.0,79.3,28.0,118.9,8.9,3.7,5.2,618.3,Group Captive Solar & Rooftop PV (SEBI Rank #18),Targeting >53% clean electricity mix
Jindal Stain.,JSL,Large Cap,Metals & Mining,Metals & Mining,737.85,44.0,53.0,77.0,126.0,225.0,304.0,91.2,24.0,136.8,8.2,3.8,4.4,601.9,Group Captive Solar & Rooftop PV (SEBI Rank #189),Targeting >49% clean electricity mix
Reliance Industries Ltd,RELIANCE,Large Cap,Conglomerates & Diversified,Captive Mega-Hubs + 28k Tower Solar,1322.0,-3.1,-10.5,12.8,20.5,13.7,28.2,247.0,10.0,1200.0,7.8,3.4,4.4,528.0,Captive Mega-Hubs + 28k Tower Solar,"100 GW RE by 2030, Net Zero 2035"
Coforge,COFORGE,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,1972.8,-12.0,31.0,59.0,132.0,175.0,348.0,69.9,58.0,104.9,8.6,3.75,4.85,508.8,Group Captive Solar & Rooftop PV (SEBI Rank #133),Targeting >83% clean electricity mix
Hind.Aeronautics,HAL,Large Cap,Capital Goods & Engineering,Heavy Engineering & Capital Goods,4856.0,10.0,35.0,75.0,120.0,175.0,240.0,65.0,10.0,97.5,8.9,3.7,5.2,507.0,Group Captive Solar & Rooftop PV (SEBI Rank #25),Targeting >35% clean electricity mix
Bajaj Finserv,BAJAJFINSV,Large Cap,Banking & Financial Services,BFSI,1970.0,13.0,41.0,84.0,132.0,190.0,258.0,63.1,13.0,94.7,8.9,3.7,5.2,492.4,Group Captive Solar & Rooftop PV (SEBI Rank #28),Targeting >38% clean electricity mix
Eternal,ETERNAL,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,322.75,14.0,43.0,87.0,136.0,195.0,264.0,62.3,14.0,93.4,8.9,3.7,5.2,485.7,Group Captive Solar & Rooftop PV (SEBI Rank #29),Targeting >39% clean electricity mix
Apollo Hospitals,APOLLOHOSP,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,8650.0,0.0,35.0,70.0,90.0,200.0,320.0,69.1,30.0,103.6,8.4,3.8,4.6,476.6,Group Captive Solar & Rooftop PV (SEBI Rank #80),Targeting >55% clean electricity mix
Bharat Electron,BEL,Large Cap,Capital Goods & Engineering,Heavy Engineering & Capital Goods,405.35,15.0,45.0,90.0,140.0,200.0,270.0,59.3,15.0,88.9,8.9,3.7,5.2,462.3,Group Captive Solar & Rooftop PV (SEBI Rank #30),Targeting >40% clean electricity mix
O N G C,ONGC,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,234.65,16.0,47.0,93.0,144.0,205.0,276.0,59.0,16.0,88.5,8.9,3.7,5.2,460.2,Group Captive Solar & Rooftop PV (SEBI Rank #31),Targeting >41% clean electricity mix
Oracle Fin.Serv.,OFSS,Large Cap,IT & Software Services,IT & Digital Services,12058.0,30.0,50.0,115.0,165.0,305.0,455.0,52.5,75.0,78.8,9.2,3.6,5.6,441.3,Group Captive Solar & Rooftop PV (SEBI Rank #110),Targeting >100% clean electricity mix
Zydus Lifesci.,ZYDUSLIFE,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,1120.0,18.0,26.0,79.0,117.0,245.0,383.0,62.1,48.0,93.2,8.4,3.8,4.6,428.7,Group Captive Solar & Rooftop PV (SEBI Rank #98),Targeting >73% clean electricity mix
Nestle India,NESTLEIND,Large Cap,FMCG & Consumer Goods,FMCG & Consumer Packaged Goods,1410.5,17.0,49.0,96.0,148.0,210.0,282.0,54.4,17.0,81.6,8.9,3.7,5.2,424.3,Group Captive Solar & Rooftop PV (SEBI Rank #32),Targeting >42% clean electricity mix
Uno Minda,UNOMINDA,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,1249.7,15.0,40.0,95.0,115.0,185.0,235.0,57.7,35.0,86.6,8.6,3.75,4.85,420.0,Group Captive Solar & Rooftop PV (SEBI Rank #160),Targeting >60% clean electricity mix
Indus Towers,INDUSTOWER,Large Cap,Telecom & Data Centers,Telecom & Connectivity,376.8,38.0,66.0,139.0,197.0,345.0,503.0,49.7,83.0,74.6,9.2,3.6,5.6,417.8,Group Captive Solar & Rooftop PV (SEBI Rank #118),Targeting >100% clean electricity mix
Phoenix Mills,PHOENIXLTD,Large Cap,Textiles & Apparel,Textiles & Apparel,1942.0,18.0,46.0,104.0,127.0,200.0,253.0,55.6,38.0,83.4,8.6,3.75,4.85,404.5,Group Captive Solar & Rooftop PV (SEBI Rank #163),Targeting >63% clean electricity mix
Welspun Corp,WELCORP,Large Cap,Textiles & Apparel,Textiles & Apparel,2590.6,24.0,58.0,122.0,151.0,230.0,289.0,54.7,44.0,82.1,8.6,3.75,4.85,398.2,Group Captive Solar & Rooftop PV (SEBI Rank #169),Targeting >69% clean electricity mix
J K Cements,JKCEMENT,Mid Cap,Cement & Building Materials,Cement & Building Materials,5083.5,31.0,47.0,63.0,84.0,115.0,246.0,58.9,16.0,88.3,8.2,3.8,4.4,388.5,Group Captive Solar & Rooftop PV (SEBI Rank #241),Targeting >41% clean electricity mix
Avenue Super.,DMART,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,3770.0,21.0,57.0,108.0,164.0,230.0,306.0,49.2,21.0,73.8,8.9,3.7,5.2,383.8,Group Captive Solar & Rooftop PV (SEBI Rank #36),Targeting >46% clean electricity mix
Shriram Finance,SHRIRAMFIN,Large Cap,Banking & Financial Services,BFSI,1041.0,22.0,59.0,111.0,168.0,235.0,312.0,49.0,22.0,73.5,8.9,3.7,5.2,382.2,Group Captive Solar & Rooftop PV (SEBI Rank #37),Targeting >47% clean electricity mix
Laurus Labs,LAURUSLABS,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,1840.0,37.0,64.0,136.0,193.0,340.0,497.0,55.2,32.0,82.8,8.4,3.8,4.6,380.9,Group Captive Solar & Rooftop PV (SEBI Rank #117),Targeting >57% clean electricity mix
Persistent Systems,PERSISTENT,Large Cap,IT & Software Services,IT & Digital Services,5643.0,-13.0,29.0,56.0,128.0,170.0,342.0,44.5,57.0,66.8,9.2,3.6,5.6,374.1,Group Captive Solar & Rooftop PV (SEBI Rank #132),Targeting >82% clean electricity mix
Lupin,LUPIN,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,2110.0,43.0,76.0,94.0,157.0,190.0,353.0,53.6,38.0,80.4,8.4,3.8,4.6,369.8,Group Captive Solar & Rooftop PV (SEBI Rank #123),Targeting >63% clean electricity mix
Mankind Pharma,MANKIND,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,2327.9,44.0,78.0,97.0,161.0,195.0,359.0,53.4,39.0,80.1,8.4,3.8,4.6,368.5,Group Captive Solar & Rooftop PV (SEBI Rank #124),Targeting >64% clean electricity mix
Max Healthcare,MAXHEALTH,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,984.8,46.0,82.0,103.0,169.0,205.0,371.0,53.3,41.0,79.9,8.4,3.8,4.6,367.5,Group Captive Solar & Rooftop PV (SEBI Rank #126),Targeting >66% clean electricity mix
Dixon Technolog.,DIXON,Large Cap,IT & Software Services,IT & Digital Services,14240.0,-11.0,33.0,62.0,136.0,180.0,354.0,43.6,59.0,65.4,9.2,3.6,5.6,366.2,Group Captive Solar & Rooftop PV (SEBI Rank #134),Targeting >84% clean electricity mix
Dalmia Bharat Ltd,DALBHARAT,Mid Cap,Cement & Building Materials,"RE100, Captive Solar + Open Access",1749.3,-21.3,-9.4,-27.1,9.6,-16.8,124.2,410.0,47.0,850.0,8.0,3.7,4.3,365.5,"RE100, Captive Solar + Open Access","100% RE by 2030, Carbon Negative 2040"
Aurobindo Pharma,AUROPHARMA,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,1653.1,49.0,88.0,112.0,181.0,220.0,389.0,52.8,44.0,79.2,8.4,3.8,4.6,364.3,Group Captive Solar & Rooftop PV (SEBI Rank #129),Targeting >69% clean electricity mix
PB Fintech.,POLICYBZR,Large Cap,IT & Software Services,IT & Digital Services,1836.0,-8.0,-6.0,26.0,103.0,150.0,327.0,42.5,62.0,63.8,9.2,3.6,5.6,357.3,Group Captive Solar & Rooftop PV (SEBI Rank #137),Targeting >87% clean electricity mix
Sai Life,SAILIFE,Mid Cap,Metals & Mining,Metals & Mining,1584.3,-5.0,-5.0,40.0,90.0,150.0,310.0,50.5,15.0,75.8,8.2,3.8,4.4,333.5,Group Captive Solar & Rooftop PV (SEBI Rank #270),Targeting >40% clean electricity mix
ACC Limited,ACC,Mid Cap,Cement & Building Materials,Cement,1283.8,14.0,26.0,48.0,75.0,92.0,125.0,320.0,30.0,780.0,8.0,3.75,4.25,331.5,Onsite WHRS + Group Captive Solar PPA,50% Green Power by 2028
MRF,MRF,Large Cap,Automotive & 2W/3W,Auto Ancillary & Components,129945.0,-14.0,2.0,33.0,89.0,195.0,281.0,44.1,71.0,66.2,8.6,3.75,4.85,321.1,Group Captive Solar & Rooftop PV (SEBI Rank #196),Targeting >96% clean electricity mix
Indian Renewable,IREDA,Mid Cap,Power Utilities & Cleantech,Renewable Energy & Power,113.64,10.0,25.0,85.0,150.0,225.0,400.0,47.9,30.0,71.8,8.2,3.8,4.4,315.9,Group Captive Solar & Rooftop PV (SEBI Rank #285),Targeting >55% clean electricity mix
I O C L,IOC,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,137.6,31.0,32.0,93.0,159.0,235.0,321.0,38.9,31.0,58.3,8.9,3.7,5.2,303.2,Group Captive Solar & Rooftop PV (SEBI Rank #46),Targeting >56% clean electricity mix
Interglobe Aviat,INDIGO,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,4977.0,33.0,36.0,99.0,167.0,245.0,333.0,38.5,33.0,57.8,8.9,3.7,5.2,300.6,Group Captive Solar & Rooftop PV (SEBI Rank #48),Targeting >58% clean electricity mix
Shyam Metalics,SHYAMMETL,Mid Cap,Metals & Mining,Metals & Mining,1065.3,25.0,55.0,70.0,150.0,240.0,280.0,44.6,15.0,66.9,8.2,3.8,4.4,294.4,Group Captive Solar & Rooftop PV (SEBI Rank #300),Targeting >40% clean electricity mix
ACME Solar Hold.,ACMESOLAR,Mid Cap,Power Utilities & Cleantech,Renewable Energy & Power,418.0,26.0,57.0,73.0,154.0,245.0,286.0,44.3,16.0,66.4,8.2,3.8,4.4,292.2,Group Captive Solar & Rooftop PV (SEBI Rank #301),Targeting >41% clean electricity mix
Sona BLW Precis.,SONACOMS,Mid Cap,Automotive & 2W/3W,Auto Ancillary & Components,789.0,4.0,38.0,87.0,161.0,285.0,389.0,39.4,39.0,59.1,8.6,3.75,4.85,286.6,Group Captive Solar & Rooftop PV (SEBI Rank #214),Targeting >64% clean electricity mix
SBI Life Insuran,SBILIFE,Large Cap,Banking & Financial Services,BFSI,1775.0,36.0,42.0,108.0,179.0,260.0,351.0,35.6,11.0,53.4,8.9,3.7,5.2,277.7,Group Captive Solar & Rooftop PV (SEBI Rank #51),Targeting >36% clean electricity mix
Orient Green Power Co,GREENPOWER,Small Cap,Power Utilities & Cleantech,Independent Power Producer (IPP),9.24,-28.0,-54.9,-28.6,20.2,223.7,457.5,402.0,100.0,620.0,7.6,3.3,4.3,266.6,Independent Power Producer (IPP),1 GW green energy portfolio
DLF,DLF,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,681.9,41.0,52.0,123.0,199.0,285.0,381.0,33.8,16.0,50.7,8.9,3.7,5.2,263.6,Group Captive Solar & Rooftop PV (SEBI Rank #56),Targeting >41% clean electricity mix
Glenmark Pharma.,GLENMARK,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,2437.2,20.0,50.0,110.0,135.0,210.0,265.0,38.2,45.0,57.3,8.4,3.8,4.6,263.6,Group Captive Solar & Rooftop PV (SEBI Rank #165),Targeting >70% clean electricity mix
Fortis Health.,FORTIS,Large Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,905.0,25.0,60.0,125.0,155.0,235.0,295.0,38.0,50.0,57.0,8.4,3.8,4.6,262.2,Group Captive Solar & Rooftop PV (SEBI Rank #170),Targeting >75% clean electricity mix
Jindal Stainless Ltd,JINDALSTEL,Large Cap,Metals & Mining,Captive Hybrid PPA with ReNew & Rooftop,1165.0,9.5,12.1,66.1,171.8,199.3,523.5,300.0,18.0,650.0,7.8,3.8,4.0,260.0,Captive Hybrid PPA with ReNew & Rooftop,50% Carbon Reduction by 2035
Pidilite Inds.,PIDILITIND,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,1629.5,43.0,56.0,129.0,207.0,295.0,393.0,33.2,18.0,49.8,8.9,3.7,5.2,259.0,Group Captive Solar & Rooftop PV (SEBI Rank #58),Targeting >43% clean electricity mix
Balkrishna Inds,BALKRISIND,Mid Cap,Automotive & 2W/3W,Auto Ancillary & Components,2284.6,15.0,15.0,75.0,160.0,295.0,410.0,35.3,50.0,52.9,8.6,3.75,4.85,256.6,Group Captive Solar & Rooftop PV (SEBI Rank #225),Targeting >75% clean electricity mix
Bharti Airtel Ltd (Nxtra),BHARTIARTL,Large Cap,Telecom & Data Centers,Open Access Solar/Wind + Distributed Rooftop,1840.0,-2.0,7.6,98.6,130.0,167.3,345.3,120.0,49.0,483.0,9.5,4.2,5.3,256.0,Open Access Solar/Wind + Distributed Rooftop,RE100 (100% RE in Nxtra Data Centers by 2030)
SJVN,SJVN,Mid Cap,Power Utilities & Cleantech,Renewable Energy & Power,65.23,-12.0,1.0,44.0,72.0,190.0,258.0,38.5,43.0,57.8,8.2,3.8,4.4,254.3,Group Captive Solar & Rooftop PV (SEBI Rank #328),Targeting >68% clean electricity mix
Tata Capital,TATACAP,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,375.05,45.0,60.0,75.0,155.0,245.0,345.0,31.8,20.0,47.7,8.9,3.7,5.2,248.0,Group Captive Solar & Rooftop PV (SEBI Rank #60),Targeting >45% clean electricity mix
